CommentID,PostID,CommentText
CMT0106,POST008,This is misleading information.
CMT0107,POST115,Seen this before but still relevant.
CMT0108,POST105,Waste of time honestly.
CMT0109,POST106,The quality of this post has gone down.
CMT0110,POST017,Makes sense.
CMT0111,POST066,"Incredible breakdown, very easy to understand."
CMT0112,POST100,"This is so helpful, thank you for sharing!"
CMT0113,POST100,I expected more from this content.
CMT0114,POST019,"Okay, noted."
CMT0115,POST072,"This is exactly what I needed today, thanks!"
CMT0116,POST068,"Okay, noted."
CMT0117,POST114,Not sure how this applies to my situation.
CMT0118,POST025,"Love this content, keep it coming!"
CMT0119,POST065,"Interesting, will look into this more."
CMT0120,POST098,Pretty disappointed with this post.
CMT0121,POST057,"This is exactly what I needed today, thanks!"
CMT0122,POST078,Good to know.
CMT0123,POST058,Will check this out later.
CMT0124,POST065,The quality of this post has gone down.
CMT0125,POST113,"Not impressed, seen better content elsewhere."
CMT0126,POST119,Not sure how this applies to my situation.
CMT0127,POST108,Best post I've seen on this topic.
CMT0128,POST016,You guys are killing it with this content!
CMT0129,POST010,"This is fine, nothing groundbreaking though."
CMT0130,POST010,"Such valuable insights, saved for later."
CMT0131,POST101,"Absolutely amazing post, learned a lot."
CMT0132,POST092,I see what you mean.
CMT0133,POST019,"Absolutely amazing post, learned a lot."
CMT0134,POST060,"Love this content, keep it coming!"
CMT0135,POST051,I expected more from this content.
CMT0136,POST086,I expected more from this content.
CMT0137,POST091,"This is exactly what I needed today, thanks!"
CMT0138,POST052,"This made my day, great work!"
CMT0139,POST046,You guys are killing it with this content!
CMT0140,POST003,"Incredible breakdown, very easy to understand."
CMT0141,POST057,"This is fine, nothing groundbreaking though."
CMT0142,POST043,Good to know.
CMT0143,POST066,Pretty disappointed with this post.
CMT0144,POST118,Pretty disappointed with this post.
CMT0145,POST011,"This is so helpful, thank you for sharing!"
CMT0146,POST116,"Not impressed, seen better content elsewhere."
CMT0147,POST097,Best post I've seen on this topic.
CMT0148,POST109,"Not impressed, seen better content elsewhere."
CMT0149,POST052,"This is exactly what I needed today, thanks!"
CMT0150,POST074,I see what you mean.
